Method name,C20,C3,C4,C1,C5,C6,C2,C21,C18,C8,C9,C10,C17,C19,C7,C11,C12,C13,C14,C15,C16,H6,H7,H8,H9,H10,H11,H16,H17,H18,H19,H4,H1,H2,H3,H12,H13,H14,H15,H5,bug-prone
org.apache.hadoop.hbase.security.access.AccessController.checkPermissions,2,32,3,29,4,20,0,17,10,19,7,12,8,5,1,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0.10526315789473684,0.0,0.0,0.0,1,2,0,2,0.0625,0.0,0,2.0,1,not bug-prone
org.apache.hadoop.hbase.security.access.AccessControlLists.addUserPermission,14,38,3,29,8,22,6,17,16,22,8,14,6,1,2,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0,0,0,0,0.3181818181818182,0.0,0.0,0.0,1,4,3,7,0.125,0.09375,1.3333333333333333,7.0,1,bug-prone
org.apache.hadoop.hbase.security.access.AccessControlLists.removeTablePermissions,10,47,6,38,8,28,3,21,36,27,10,17,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,41,2,0,0,5,0,1.5185185185185186,0.045454545454545456,0.0,1.6666666666666667,1,18,7,25,0.4090909090909091,0.1590909090909091,2.5714285714285716,25.0,1,not bug-prone
org.apache.hadoop.hbase.security.access.AccessControlLists.getTablePermissions,11,33,2,21,6,16,10,12,8,16,5,11,4,2,2,0.0,0.0,0.0,0.0,0.0,0.0,4,1,1,1,0,0,0.25,0.041666666666666664,0.041666666666666664,0.0,2,2,2,4,0.08333333333333333,0.08333333333333333,1.0,2.0,2,not bug-prone
org.apache.hadoop.hbase.security.access.TableAuthManager.initGlobal,4,28,1,22,6,16,5,12,8,14,6,8,5,3,1,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0.2857142857142857,0.0,0.0,0.0,1,4,0,4,0.16666666666666666,0.0,0,4.0,1,bug-prone
org.apache.hadoop.hbase.security.access.TableAuthManager.refreshCacheFromWritable,8,15,0,15,3,10,0,7,4,9,3,6,4,3,2,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0,0,0,0,0.4444444444444444,0.06666666666666667,0.0,0.0,1,5,0,5,0.3333333333333333,0.0,0,5.0,1,not bug-prone
org.apache.hadoop.hbase.security.access.TableAuthManager.getTablePermissions,6,6,0,6,1,3,0,4,2,4,1,3,2,1,1,18.0,28.0,28.0,116.75790004038474,14112.0,0.1946574921136411,7,0,0,1,1,0,1.75,0.0,0.0,1.0,1,3,4,7,0.5,0.6666666666666666,0.75,7.0,1,bug-prone
org.apache.hadoop.hbase.security.access.TableAuthManager.authorize,5,4,0,4,2,1,0,2,1,2,1,1,1,0,4,13.0,24.0,5.833333333333334,88.81055323538621,1820.0,0.0496889329567143,4,2,0,0,0,0,2.0,0.09090909090909091,0.0,0.0,1,8,0,8,0.36363636363636365,0.0,0,8.0,1,bug-prone
org.apache.hadoop.hbase.security.access.TableAuthManager.authorizeUser,7,9,0,8,2,4,1,5,2,4,1,3,2,1,5,19.0,43.0,9.444444444444445,182.66088307807416,7716.111111111111,0.1301600561116203,2,0,0,0,0,0,0.5,0.0,0.0,0.0,1,1,0,1,0.1111111111111111,0.0,0,1.0,1,bug-prone
org.apache.hadoop.hbase.security.access.TableAuthManager.authorizeGroup,5,17,0,7,2,3,10,5,2,4,1,3,2,1,4,18.0,38.0,9.375,158.45715005480787,6412.5,0.11505274832841866,2,0,0,0,0,0,0.5,0.0,0.0,0.0,1,1,0,1,0.125,0.0,0,1.0,1,bug-prone
org.apache.hadoop.hbase.security.access.TableAuthManager.matchPermission,7,31,2,29,7,16,0,7,20,20,8,12,10,6,5,39.0,127.0,34.4,671.2460817955056,170383.2,1.0244637418429192,8,0,0,0,0,0,0.4,0.0,0.0,0.0,1,8,0,8,0.25806451612903225,0.0,0,8.0,1,bug-prone
org.apache.hadoop.hbase.security.access.TableAuthManager.remove,3,3,0,3,1,1,0,1,1,2,1,1,1,0,1,6.0,7.0,3.0,18.094737505048094,126.0,0.008377718728240054,3,0,0,0,0,0,1.5,0.0,0.0,0.0,1,1,2,3,0.3333333333333333,0.6666666666666666,0.5,3.0,1,bug-prone
org.apache.hadoop.hbase.security.access.TableAuthManager.setUserPermissions,4,13,0,6,3,3,7,3,1,4,2,2,1,0,3,15.0,28.0,9.0,109.39293667703852,3780.0,0.08088598499327548,7,0,0,0,0,0,1.75,0.0,0.0,0.0,1,3,4,7,0.5,0.6666666666666666,0.75,7.0,1,bug-prone
org.apache.hadoop.hbase.security.access.TableAuthManager.setGroupPermissions,3,13,0,6,3,3,7,3,1,4,2,2,1,0,3,15.0,28.0,9.0,109.39293667703852,3780.0,0.08088598499327548,7,0,0,0,0,0,1.75,0.0,0.0,0.0,1,3,4,7,0.5,0.6666666666666666,0.75,7.0,1,bug-prone
org.apache.hadoop.hbase.security.access.TableAuthManager.writeToZooKeeper,6,8,0,8,3,4,0,3,2,5,2,3,2,1,2,23.0,37.0,12.1875,167.37179237410948,10371.5625,0.15852881178114625,11,0,0,0,4,0,2.2,0.0,0.0,2.0,1,3,7,10,0.375,0.875,0.42857142857142855,10.0,1,bug-prone
org.apache.hadoop.hbase.security.access.ZKPermissionWatcher.writeToZookeeper,10,18,1,12,2,9,5,6,2,8,2,6,2,1,2,34.0,79.0,21.428571428571427,401.90956445877686,57557.14285714285,0.49691056460698846,4,0,0,0,2,0,0.5,0.0,0.0,1.0,1,4,0,4,0.3076923076923077,0.0,0,4.0,1,not bug-prone
org.apache.hadoop.hbase.security.HBasePolicyProvider.init,4,9,0,8,2,4,1,3,2,4,1,3,2,1,2,20.0,31.0,9.285714285714286,133.97977094150824,5757.142857142858,0.10707384935147413,1,0,0,0,0,0,0.25,0.0,0.0,0.0,1,1,0,1,0.1111111111111111,0.0,0,1.0,1,bug-prone
org.apache.hadoop.hbase.security.token.TokenProvider.getAuthenticationToken,2,23,2,21,4,15,0,10,12,13,3,10,5,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0.043478260869565216,0.0,0,1,0,0,0,0.0,0.0,0,0.0,1,bug-prone
org.apache.hadoop.hbase.avro.AvroUtil.hslToASL,13,27,2,25,5,21,0,16,3,22,6,16,3,2,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.045454545454545456,0.0,0.0,0.0,1,1,0,1,0.037037037037037035,0.0,0,1.0,1,not bug-prone
org.apache.hadoop.hbase.avro.AvroUtil.csToACS,11,34,0,34,8,28,0,15,9,29,10,19,5,2,1,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0.10344827586206896,0.0,0.0,0.0,1,3,0,3,0.08823529411764706,0.0,0,3.0,1,not bug-prone
org.apache.hadoop.hbase.avro.AvroUtil.resultToAResult,11,23,0,23,7,19,0,11,3,20,8,12,4,2,1,58.0,159.0,72.28571428571428,931.4189782252839,666618.857142857,2.5436878081252066,2,0,0,0,0,0,0.1,0.0,0.0,0.0,1,2,0,2,0.08695652173913043,0.0,0,2.0,1,bug-prone
org.apache.hadoop.hbase.backup.HFileArchiver.archiveRegion,11,72,7,44,10,34,21,18,12,31,9,22,6,1,3,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,0,2,0,0.16129032258064516,0.0,0.0,0.6666666666666666,1,2,0,2,0.3333333333333333,0.0,0,2.0,1,bug-prone
org.apache.hadoop.hbase.backup.HFileArchiver.archiveStoreFiles,7,53,8,28,5,21,17,12,10,18,4,14,6,1,5,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,0,1,0,0.05555555555555555,0.046511627906976744,0.0,0.2,1,0,0,0,0.0,0.0,0,0.0,1,bug-prone
org.apache.hadoop.hbase.backup.HFileArchiver.archiveStoreFile,7,28,1,15,5,10,12,9,4,8,4,4,3,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,0,0,0.0,0.1111111111111111,0.0,0.0,1,0,0,0,0.0,0.0,0,0.0,1,bug-prone
org.apache.hadoop.hbase.backup.HFileArchiver.resolveAndArchive,7,59,3,34,6,25,22,16,16,25,6,19,8,4,4,0.0,0.0,0.0,0.0,0.0,0.0,6,2,2,0,0,0,0.24,0.044444444444444446,0.044444444444444446,0.0,1,0,0,0,0.0,0.0,0,0.0,1,bug-prone
org.apache.hadoop.hbase.backup.HFileArchiver.resolveAndArchiveFile,10,82,7,52,7,38,23,13,189,33,7,26,12,4,3,0.0,0.0,0.0,0.0,0.0,0.0,20,7,1,0,0,0,0.6060606060606061,0.1,0.014285714285714285,0.0,3,20,2,22,0.2857142857142857,0.02857142857142857,10.0,7.333333333333333,2,bug-prone
org.apache.hadoop.hbase.backup.HFileArchiver.deleteRegionWithoutArchiving,4,16,0,9,2,5,7,3,2,6,1,5,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,0,0,0.0,0.2222222222222222,0.0,0.0,1,0,0,0,0.0,0.0,0,0.0,1,bug-prone
org.apache.hadoop.hbase.catalog.CatalogTracker.start,14,18,0,11,2,8,7,6,2,8,2,6,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,4,0,0,0,2.0,0.0,0.36363636363636365,0,7,14,3,17,1.2727272727272727,0.2727272727272727,4.666666666666667,2.4285714285714284,2,bug-prone
org.apache.hadoop.hbase.catalog.CatalogTracker.stop,19,28,0,21,1,14,7,7,7,14,1,13,5,3,0,33.0,74.0,33.42857142857143,373.28516483252554,81632.57142857143,0.6272698256372432,9,0,2,0,0,0,0.6428571428571429,0.0,0.08333333333333333,0,3,13,0,13,0.5416666666666666,0.0,0,4.333333333333333,1,bug-prone
org.apache.hadoop.hbase.catalog.CatalogTracker.getRootLocation,8,10,0,3,1,1,7,2,1,2,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0.0,0.0,0,0.0,1,bug-prone
org.apache.hadoop.hbase.catalog.CatalogTracker.getMetaLocationOrReadLocationFromRoot,2,14,0,4,2,2,10,3,1,3,2,1,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0.0,0.0,0,0.0,1,bug-prone
org.apache.hadoop.hbase.catalog.CatalogTracker.waitForRoot,4,19,0,8,3,4,11,3,2,5,2,3,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,1,0.4,0.0,0.0,0,1,1,1,2,0.25,0.25,1.0,2.0,1,not bug-prone
org.apache.hadoop.hbase.catalog.CatalogTracker.waitForRootServerConnection,2,15,0,4,2,1,11,2,1,2,1,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.5,0.0,0.0,0.0,2,1,0,1,0.25,0.0,0,0.5,1,bug-prone
org.apache.hadoop.hbase.catalog.CatalogTracker.getRootServerConnection,2,15,0,4,2,1,11,3,1,2,1,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,0,1,1,2.5,0.0,0.0,1.0,1,1,1,2,0.25,0.25,1.0,2.0,1,bug-prone
org.apache.hadoop.hbase.catalog.CatalogTracker.getMetaServerConnection,5,50,2,25,5,17,23,9,9,17,4,13,6,2,0,0.0,0.0,0.0,0.0,0.0,0.0,16,8,2,0,1,0,0.9411764705882353,0.23529411764705882,0.058823529411764705,0,4,12,7,19,0.35294117647058826,0.20588235294117646,1.7142857142857142,4.75,2,bug-prone
org.apache.hadoop.hbase.catalog.CatalogTracker.waitForMeta,8,21,0,14,1,9,7,4,6,8,1,7,6,3,1,0.0,0.0,0.0,0.0,0.0,0.0,29,6,1,0,0,0,3.625,0.3333333333333333,0.05555555555555555,0.0,5,7,1,8,0.3888888888888889,0.05555555555555555,7.0,1.6,4,bug-prone
org.apache.hadoop.hbase.catalog.CatalogTracker.resetMetaLocation,6,11,0,8,1,5,3,3,1,5,1,4,1,0,0,15.0,25.0,6.0,97.67226489021297,2250.0,0.05723571212766657,7,0,0,0,0,1,1.4,0.0,0.0,0,4,7,1,8,0.875,0.125,7.0,2.0,2,bug-prone
org.apache.hadoop.hbase.catalog.CatalogTracker.getCachedConnection,9,45,1,33,4,26,11,9,12,18,3,15,12,2,1,0.0,0.0,0.0,0.0,0.0,0.0,19,3,8,0,0,0,1.0555555555555556,0.07894736842105263,0.21052631578947367,0.0,4,8,0,8,0.21052631578947367,0.0,0,2.0,2,bug-prone
org.apache.hadoop.hbase.catalog.MetaEditor.addRegionToMeta,4,11,0,6,3,2,5,4,1,3,1,2,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,1.3333333333333333,0.0,0.0,0.0,2,2,2,4,0.3333333333333333,0.3333333333333333,1.0,2.0,2,bug-prone
org.apache.hadoop.hbase.catalog.MetaEditor.addRegionsToMeta,4,16,0,10,4,5,6,6,2,7,3,4,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0.5714285714285714,0.0,0.0,0.0,1,2,2,4,0.2,0.2,1.0,4.0,1,bug-prone
org.apache.hadoop.hbase.catalog.MetaEditor.updateMetaLocation,5,20,0,5,3,1,15,1,1,2,1,1,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0,0,0,0,3.5,0.0,0.0,0.0,1,1,3,4,0.2,0.6,0.3333333333333333,4.0,1,bug-prone
org.apache.hadoop.hbase.catalog.MetaEditor.updateRegionLocation,4,17,0,5,3,1,12,1,1,2,1,1,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.5,0.0,0.0,0.0,1,1,0,1,0.2,0.0,0,1.0,1,bug-prone
org.apache.hadoop.hbase.catalog.MetaEditor.deleteRegion,4,13,0,7,4,3,6,5,1,4,2,2,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0.5,0.0,0.0,0.0,1,1,1,2,0.14285714285714285,0.14285714285714285,1.0,2.0,1,bug-prone
org.apache.hadoop.hbase.catalog.MetaReader.fullScan,10,37,0,26,10,18,11,15,20,20,6,14,7,3,1,0.0,0.0,0.0,0.0,0.0,0.0,63,0,0,1,0,0,3.15,0.0,0.0,0.0,4,9,16,25,1.5,2.6666666666666665,0.5625,6.25,2,bug-prone
org.apache.hadoop.hbase.catalog.MetaReader.fullScanOfRoot,2,11,0,6,3,3,5,3,1,4,2,2,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,0,0,0,1.5,0.0,0.0,0.0,1,3,3,6,0.5,0.5,1.0,6.0,1,bug-prone
org.apache.hadoop.hbase.catalog.MetaReader.readMetaLocation,3,12,0,5,2,2,7,2,1,2,1,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.5,0.0,0.0,0.0,2,1,0,1,0.2,0.0,0,0.5,1,bug-prone
org.apache.hadoop.hbase.catalog.MetaReader.readRegionLocation,3,13,0,6,4,2,7,3,1,3,2,1,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0,0,0,1,2.3333333333333335,0.0,0.0,0.0,3,4,3,7,0.6666666666666666,0.5,1.3333333333333333,2.3333333333333335,1,bug-prone
org.apache.hadoop.hbase.catalog.MetaReader.readLocation,9,42,0,33,5,25,9,10,16,13,3,10,9,2,3,0.0,0.0,0.0,0.0,0.0,0.0,11,5,8,0,0,0,0.8461538461538461,0.11904761904761904,0.19047619047619047,0.0,5,9,3,12,0.21428571428571427,0.07142857142857142,3.0,2.4,2,bug-prone
org.apache.hadoop.hbase.catalog.MetaReader.getRegion,17,15,0,8,5,4,7,7,1,5,3,2,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,0,0,0,1.2,0.0,0.0,0.0,2,4,2,6,0.5,0.25,2.0,3.0,1,bug-prone
org.apache.hadoop.hbase.catalog.MetaReader.tableExists,14,46,2,30,6,21,14,8,2,19,6,13,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,22,2,8,0,0,0,1.1578947368421053,0.05263157894736842,0.21052631578947367,0.0,4,10,14,24,0.2631578947368421,0.3684210526315789,0.7142857142857143,6.0,3,bug-prone
org.apache.hadoop.hbase.catalog.MetaReader.getTableRegions,6,21,0,12,4,7,9,4,2,6,2,4,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,69,6,10,0,0,0,11.5,1.2,2.0,0.0,2,11,25,36,2.2,5.0,0.44,18.0,1,bug-prone
org.apache.hadoop.hbase.catalog.MetaReader.getTableRegionsAndLocations,10,50,2,37,11,25,11,9,2,24,9,15,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,37,1,2,0,0,0,1.5416666666666667,0.16666666666666666,0.3333333333333333,0.0,4,13,25,38,2.1666666666666665,4.166666666666667,0.52,9.5,2,bug-prone
org.apache.hadoop.hbase.Chore.run,5,29,0,26,3,19,3,10,6,16,3,13,6,4,0,43.0,94.0,21.46666666666667,510.0688869419972,86768.26666666668,0.6533100812082441,25,1,0,0,0,0,1.5625,0.038461538461538464,0.0,0,5,13,3,16,0.5,0.11538461538461539,4.333333333333333,3.2,3,bug-prone
org.apache.hadoop.hbase.Chore.initialChore,1,8,0,3,1,1,5,1,1,2,1,1,1,0,0,3.0,3.0,1.0,4.754887502163469,9.0,0.0014422495703074081,1,0,1,1,0,0,0.5,0.0,0.25,0,1,0,0,0,0.0,0.0,0,0.0,0,not bug-prone
org.apache.hadoop.hbase.client.Action.getRegionName,0,3,0,3,1,1,0,1,1,2,1,1,1,0,0,3.0,3.0,1.0,4.754887502163469,9.0,0.0014422495703074081,2,0,0,0,0,0,1.0,0.0,0.0,0,1,1,1,2,0.3333333333333333,0.3333333333333333,1.0,2.0,1,bug-prone
org.apache.hadoop.hbase.client.Action.setRegionName,0,2,0,2,1,0,0,0,1,1,1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,1,0,1,1,0.0,0.5,0.0,1.0,1,bug-prone
org.apache.hadoop.hbase.client.Action.getResult,1,3,0,3,1,1,0,1,1,2,1,1,1,0,0,3.0,3.0,1.0,4.754887502163469,9.0,0.0014422495703074081,0,0,0,1,0,0,0.0,0.0,0.0,0,1,0,0,0,0.0,0.0,0,0.0,1,not bug-prone
